REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;Data_Descredenciamento;Motivo_do_Descredenciamento
"409651";"01638252000103";"CLINICA ODONTOLOGICA BRASIL  S/C LTDA";"ODONTOLOGIA BRASIL";"Odontologia de Grupo";"RUA PROFESSOR CARLOS DE ASSIS FIGUEIREDO";"36";;"ITAÍM PAULISTA";"São Paulo";"SP";"08110250";"11";"65612909";"65612909";;"ROGÉRIO FRANCO  EL ALAM";"SÓCIO";;"1999-11-08";"2001-04-30";"Pedido de cancelamento"
"413739";"03789976000183";"CLINICA ODONTOLOGICA BUCKER S/C. LTDA.";"CLINICA ODONTOLÓGICA SOL";"Odontologia de Grupo";"RUA FREI PAULINO";"318";"SALA 7";"ABADIA";"Uberaba";"MG";"38025180";"16";"38395588";;"adolfomb@netsite.com.br";"ALFEU MEDINA BUCKER";"DIRETOR";6;"2001-05-24";"2010-08-20";"Deliberação de Diretoria Colegiada"
"35136";"01953726000101";"CLINICA ODONTOLOGICA DA LAGOA S/C LTDA";"CLÍNICA ODONTOLÓGICA DA LAGOA";"Odontologia de Grupo";"AV. ASSIS BRASIL";"619";;"CENTRO";"Tapes";"RS";"96760000";"51";"6721942";;;"GÉRSON SANTANNA";;;"1998-12-21";"1999-10-29";"Pedido de cancelamento"
"412961";"04132036000180";"CLINICA ODONTOLOGICA DENTEPLAN LTDA";"DENTEPLAN";"Odontologia de Grupo";"RUA DR WALMOR RIBEIRO";"193";;"CORAL";"Lages";"SC";"88523060";"49";"32231217";"32231217";"denteplan@bol.com.br";"DEISE DA ROSA RIBEIRO";"SOCIA ADMINISTRADORA";6;"2001-01-04";"2007-09-05";"Pedido de cancelamento"
"402290";"01076367000151";"CLINICA ODONTOLOGICA L D EMPRESARIAL LTDA";"SORRIA ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"RUA RAFAEL ANDREA";"9";;"CENTRO";"Resende";"RJ";"27511330";"24";"3547243";"3547243";"sorria@zaz.com.br";"LEONARDO DOS SANTOS BARROSO";"SOCIO GERENTE";;"1999-03-19";"2003-06-25";"Pedido de cancelamento"
"404039";"02544253000151";"CLINICA ODONTOLOGICA LUIZ LIMA LTDA.";;"Odontologia de Grupo";"RUA SANTA CLARA";"412";"SALA 02";"CENTRO";"Sorocaba";"SP";"18030420";"15";"32334924";"32334924";"bigdental@uol.com.br";"LUIZ VALDO NOBRE DE LIMA";"DIRETOR";6;"1999-04-29";"2012-04-12";"Descumprimento da RN n.º 100/2005"
"410667";"86811148000121";"CLINICA ODONTOLOGICA ODONTOPLAN LTDA";"ODONTOPLAN";"Odontologia de Grupo";"RUA 13 DE JUNHO";"1182";;"CENTRO";"Corumbá";"MS";"79300000";"67";"2316833";"2316833";"dr.acyr@rede21.com";"ANTONIO TADEU DA COSTA OLIVEIRA";"SOCIO GERENTE";;"2000-02-08";"2006-11-17";"Pedido de cancelamento"
"37292";"13265970000160";"CLINICA ODONTOLOGICA ODONTOSERV LTDA.";"ODONTOSERV";"Odontologia de Grupo";"AV.ACM";"2671";"EDF.BAHIA CENTER -SALA 506";"PITUBA";"Salvador";"BA";"40275000";"71";"2480024";"3508009";"investba@svn.com.br";"HUMBERTO COSTA";"X";;"1999-01-20";"1999-10-29";"Descumprimento da Circular SUSEP no. 77/1999"
"334766";"41457235000194";"CLINICA ODONTOLOGICA PEDRO TELES LTDA";"DENTAL SEGUROS";"Odontologia de Grupo";"AV. PE. ANTÔNIO TOMÁS";"40";;"ALDEOTA";"Fortaleza";"CE";"60140160";"85";"32247092";"32249909";"dentalseguros@terra.com.br";"FRANCISCO MARCELO PARENTE";"DIRETOR FINANCEIRO";;"1998-12-22";"2010-03-12";"Descumprimento da RN n.º 100/2005"
"407496";"01809139000143";"CLINICA ODONTOLOGICA SÃO JOSÉ LTDA.";"DENTPLANOS";"Odontologia de Grupo";"RUA VERÍSSIMO MARQUES";"1217";;"CENTRO";"São José dos Pinhais";"PR";"83005410";"41";"30355968";"30355968";"dentplanos@gnail.com";"MURILO ANDRADE LOVIZOTTO";"GERENTE";5;"1999-08-13";"2010-10-13";"Deliberação de Diretoria Colegiada"
"414395";"04418941000109";"CLINICA ODONTOLOGICA TORRILHAS LTDA";"SERVPLANO";"Odontologia de Grupo";"AV 7 DE SETEMBRO";"140";"C";"CENTRO";"Altônia";"PR";"87550000";"44";"36591143";;"clinicatorrilhas@hotmail.com";"REINALDO VALDIVINI MADUREIRA SILVA";"SOCIO GERENTE";5;"2002-10-08";"2009-06-22";"Pedido de cancelamento"
"407828";"00780154000143";"CLINICA ODONTOLÓGICA ARAGÃO DE MERITI LTDA";"CLEAN-DENTE";"Odontologia de Grupo";"RUA ANTONIO TELES DE MENESES";"41";"SL 201";"CENTRO";"Rio de Janeiro";"RJ";"25520630";"21";"7562450";"7560424";"cdente@iis.com.br";"MOZART DIAS ARAGÃO";"SÓCIO GERENTE";;"1999-09-02";"2006-12-08";"Pedido de cancelamento"
"373460";"02714901000170";"CLINICA ODONTOLÓGICA DENTAL POLICLINICO LTDA";"DENTAL CLINICO";"Odontologia de Grupo";"AV. ANTONIO BASILIO";"3006";"S/L 38/39-A";"LAGOA NOVA";"Natal";"RN";"59056500";"84";"6110031";"6110030";"dentalpoliclin@digi.com.br";"UBALDO ENÉSIO DE ARAÚJO SILVA";"SÓCIO-GERENTE";;"1998-12-30";"2003-03-11";"Pedido de cancelamento"
"410349";"03560756000183";"CLINICA ODONTOLÓGICA KIELING LTDA";"CLINICA ODONTOLOGICA KIELING LTDA";"Odontologia de Grupo";"RUA KOESA";"284";;"KOBRASOL";"São José";"SC";"88102310";"48";"2599420";"2599420";"clinicakieling@bol.com.br";"LESSANDRO KIELING";"DIRETOR ADMINISTRATIVO";;"1999-12-27";"2003-03-11";"Pedido de cancelamento"
"412325";"03299135000198";"CLINICA ODONTOLÓGICA MORAES SALLES S/C LTDA";"CLÍNICA ODONTOLÓGICA MORAES SALLES";"Odontologia de Grupo";"RUA VERBO DIVINO";"942";;"CHACARA STO ANTONIO";"São Paulo";"SP";"04719001";"11";"51813602";"51837517";"clin.moraesalles@uol.com.br";"JOSÉ MARCELO DE MORAES SALLES";"SÓCIO GERENTE";5;"2000-09-26";"2004-07-12";"Pedido de cancelamento"
"327956";"82539354000173";"CLINICA ODONTOLÓGICA NIKKEY DE CURITIBA LTDA";"CLINICA NIKKEY";"Odontologia de Grupo";"RUA ÉBANO PEREIRA";"44";"8° ANDAR/CNJ 804";"CENTRO";"Curitiba";"PR";"80410240";"41";"30160693";"2222465";;"TOKUHO OZIMA";"DIRETOR";;"1999-01-19";"2008-04-07";"Descumprimento da RN n.º 100/2005"
"418846";"09556610000140";"CLINICA ODONTOLÓGICA RIO GRANDE LTDA - ME";"TCHÊ SORRISO";"Odontologia de Grupo";"RUA GENERAL NETO";"281";;"CENTRO";"Rio Grande";"RS";"96200010";"51";"32242755";"32242755";;"GEDSON FLESCH";"SóCIO ADMINISTRADOR";;"2013-05-02";"2014-03-07";"Descumprimento de disposição legal"
"406465";"60113065000175";"CLINICA ODONTOLÓGICA SOS SORRISO S/C LTDA";"SORRIDENTE";"Odontologia de Grupo";"RUA NEREU RAMOS";"439";"AP 201";;"Herval d'Oeste";"SC";"89610000";"15";"2310869";"2310869";"sossorriso@uol.com.br";"SILVANA LANZUOLO";"Diretora Técnica";;"1999-07-14";"2004-02-18";"Pedido de cancelamento"
"317951";"43698976000192";"CLINICA PACAEMBU ODONTOLOGIA ESPECIALIZADA S/C LTDA";"CLINICA PACAEMBU";"Odontologia de Grupo";"RUA 3 DE DEZEMBRO";"43";"1º ANDAR";"CENTRO";"São Paulo";"SP";"01014020";"11";"38267000";"38267000";"clinicapacaembu@uol.com.br";"FRANCISCO CHIMENTI";"SOCIO";4;"1999-01-20";"2007-09-05";"Pedido de cancelamento"
"32200";"02457530000199";"CLINICA PREMED S/C LTDA";"PREMED SAUDE";"Medicina de Grupo";"RUA GUAIUBA";"357";;"CIDADE DUTRA";"São Paulo";"SP";"40810110";"11";"56676405";"56676405";"senapa@cwaynet.com.br";"ARIANE PRETEL MAAMARI";"XXXXX";;"1999-01-07";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"363600";"60190550000142";"CLINICA SAO JOSE SOCIEDADE CIVIL LTDA";"CLINICA SAO JOSE";"Medicina de Grupo";"PRA;A ELZA FERREIRA RAHAL";"83";;"VILA ADY-ANA";"São José dos Campos";"SP";"11245340";"12";"39252300";"39215535";"csjose@iconet.com.br";"AMADEU HENRIQUES NETTO";"DIRETOR ADMINISTRATIVO";;"1998-12-17";"2002-07-19";"Pedido de cancelamento"
"408867";"29692829000184";"CLINICA SAO LUCAS LTDA";"PLAME SAÚDE";"Medicina de Grupo";"RUA TEIXEIRA DE GOUVEIA";"586";;"CENTRO";"Macaé";"RJ";"27913120";"22";"27724040";;"plame@plamesaude.com.br";"ÂNGELA PEREIRA DE MOTA SIQUEIRA ";;6;"1999-10-13";"2016-01-19";"Deliberação de Diretoria Colegiada"
"30550";"21274154000222";"CLINICA SAO LUCAS LTDA";"PLAMEDH- PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR";"Medicina de Grupo";"PRAÇA FREI ORLANDO";"26";;"CENTRO";"São João del Rei";"MG";"36300000";"32";"3715829";"3715829";"saolucas@prover.com.br";;;;"1998-12-30";"1999-09-20";"Pedido de cancelamento"
"330671";"01282895000167";"CLINICA SCHARLAU LTDA";"CLÍNICA SCHARLAU";"Medicina de Grupo";"RUA COIMBRA";"62";;"SCHARLAU";"São Leopoldo";"RS";"93125030";"51";"5682777";"5682777";;"LUIS ANTONIO OLIVEIRA";"SÓCIO";;"1999-01-06";"2001-04-20";"Pedido de cancelamento"
"329851";"87810529000159";"CLINICA STEFANI LTDA";"CLINICA STEFANI LTDA";"Medicina de Grupo";"AV. CAVALHADA";"2475";;"CAVALHADA";"Porto Alegre";"RS";"91740001";"51";"32492777";"32495634";"stefani@clinicastefani.com.br";"ERNANI ANECY MARQUES STEFANI";"SOCIO GERENTE";4;"1999-01-25";"2007-10-31";"Descumprimento da RN n.º 100/2005"
"406899";"81211575000155";"CLINICA SÃO BRAZ LTDA S/C";;"Medicina de Grupo";"AV. VEREADOR TOALDO TULIO";;;"SÃO BRAZ";"Curitiba";"PR";"82300000";"41";"2231781";"2231781";;"CARLOS NAOZO TANIKAWA";;;"1999-07-30";"2001-04-10";"Pedido de cancelamento"
"413275";"04272692000188";"CLINICA SÃO JOSÉ SAUDE LTDA.";"CLINICA SÃO JOSE SAUDE LTDA";"Medicina de Grupo";"PRAÇA MELVIN JONES";"7";;"JD.SÃO DIMAS";"São José dos Campos";"SP";"12245360";"85";"32559189";;"ans.ndi@hapvida.com.br";"LUIZ CELSO DIAS LOPES";"REPRESENTANTE DA PESSOA JURÍDICA JUNTO A";5;"2001-03-07";"2022-01-03";"Por incorporação"
"32217";"01039385000163";"CLINICAR - PLANO COMUNITARIO DE SAUDE LTDA.";"CLINICAR - SAUDE";"Medicina de Grupo";"AV. TOMAS ESPINDOLA";"222";;"FAROL";"Maceió";"AL";"57021000";"82";"3361073";"3361073";"clinicar@redesaude.com.br";"EDUARDO HENRIQUE M. PINTO DE VASCONCELOS";"XXXXX";;"1999-01-12";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"317306";"61735494000147";"CLINICARD ASSISTENCIA MEDICA S/A";"CLINICARD ASSISTÊNCIA MÉDICA S/A";"Medicina de Grupo";"LARGO 7 DE SETEMBRO";"52";"SALAS 17 E 18";"CENTRO";"São Paulo";"SP";"01501050";"11";"38877446";"38821399";"clinicard@clinicard.com.br";"ANUAR HADDAD";"DIRETOR";4;"1998-12-16";"2012-10-18";"Deliberação de Diretoria Colegiada"
"408743";"15739311000144";"CLINICAS INTEGRADAS DE SAUDE LTDA";"CLINISA";"Medicina de Grupo";"RUA DIOGO MOIA";"1279";;"UMARIZAL";"Belém";"PA";"66060140";"91";"2490777";"2490713";"clinisa@amazon.com.br";"ELIZETH ALVES ARRAES ARAUJO";"GERENTE ADMINISTRATIVA";;"1999-10-07";"2002-05-21";"Pedido de cancelamento"
"413887";"04413198000196";"CLINICEN PLANOS ODONTOLOGICOS LTDA";"CLINICEN";"Odontologia de Grupo";"RUA CARLOS DE CARVALHO, ";"156 ";"AP. 02";"CENTRO";"Curitiba";"PR";"80410180";"41";"2232173";"2232173";"borea1@ig.com.br";"IOLANDA MARIA BOREA";"SÓCIO - GERENTE";4;"2001-06-13";"2005-10-11";"Pedido de cancelamento"
"40147";"19503127000151";"CLINICON - ADMINISTRAÇÃO DE SERVIÇOS LTDA.";"CLINICON";"Medicina de Grupo";"ALAMEDA DA SERRA";"420";"SALA 306";"VALE DO SERENO";"Nova Lima";"MG";"34000000";"31";"2862327";"2863633";"odlawso@tjmg.gov.br";"ANGELA MARIA DA SILVA CONTATTO CARDOSO";;;"1999-03-04";"2000-06-28";"Pedido de cancelamento"
"312665";"73468555000136";"CLINICUORE ASSISTENCIA MÉDICA S/C LTDA.";"CLINICUORE SAUDE";"Administradora";"AV. JOÃO XXIII";"427";;"VILA FORMOSA";"São Paulo";"SP";"03361000";"011";"69101744";"62112414";" nimelone@ig.com.br";"MARIA NINA LEPORE MELONE";"ADMINISTRAÇÃO";;"1999-02-01";"2002-07-19";"Pedido de cancelamento"
"416011";"02426135000149";"CLINIMED DAY HOSPITAL LTDA EPP";"HOSPITAL SANTA MARIA";"Medicina de Grupo";"RUA OSCAR RODRIGUES ALVES";"02";;"CENTRO";"Araçatuba";"SP";"16010330";"18";"36076000";"36076000";"administracao@smhospital.com.br";"ANGELO CESAR CARVALHO";"SÓCIO ADMINISTRADOR";6;"2007-05-03";"2016-03-23";"Deliberação de Diretoria Colegiada"
"408611";"01995092000150";"CLINIODONTO COOPERATIVA ODONTOLOGICA";"CLINIODONTO";"Cooperativa odontológica";"RUA DUQUE DE CAXIAS";"67";;"CENTRO";"Santa Bárbara d'Oeste";"SP";"13450015";"19";"34635337";"34635337";"lh@andia.com.br";"JOSE LUIS ANDIA";"PRESIDENTE";;"1999-09-28";"2008-12-19";"Descumprimento da RN n.º 100/2005"
"414603";"03455032000170";"CLINIODONTO COOPERATIVA ODONTOLOGICA VALE DO PARAIBA";"CLINIODONTO VALE DO PARAIBA";"Cooperativa odontológica";"RUA OLIMPIO CATÃO";"624";;"CENTRO";"Jacareí";"SP";"12308051";"12";"39536247";"39536247";"CLINIODONTOCOOP@UOL.COM.BR";"MAURICIO JUNIOR RAMOS";"DIRETOR- PRESIDENTE";;"2003-06-24";"2009-02-27";"Descumprimento da RN n.º 100/2005"
"415413";"03391009000169";"CLINIPREV SAUDE LTDA";"CLINIPREV SAÚDE LTDA";"Medicina de Grupo";"RUA VEREADOR PRIMO MONTESCHIO";"460";"BLOCO C";"ZONA 02";"Maringá";"PR";"87005000";"44";"30276800";;"reginaldo.czezacki@grupopreversul.com.br";"REGINALDO CZEZACKI";"ADMINISTRADOR";6;"2006-02-01";"2019-07-16";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"411523";"03674911000192";"CLINISERV - CLÍNICA DE SERVIÇOS MÉDICOS LTDA.";"CLINISERV";"Medicina de Grupo";"ALBERTO BINS";"391";"5 ANDAR";"CENTRO";"Porto Alegre";"RS";"90000000";"51";"32214792";"32265746";"clinser7@terra.com.br";"OSCAR PEREIRA DE OLIVEIRA";"SÓCIO-GERENTE";;"2000-06-20";"2009-05-20";"Descumprimento da RN n.º 100/2005"
"34662";"02048470000150";"CLINODONTO - PLANO ODONTOLÓGICO DE SAÚDE LTDA.";"CLINODONTO";"Odontologia de Grupo";"AV. TOMÁS ESPÍNDOLA";"222";"SALA 08";"FAROL";"Maceió";"AL";"57021000";"82";"3361073";"3361073";"clinodonto@redesaude.com.br";;;;"1999-01-15";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"405809";"84101120000175";"CLINOP- CLÍNICA INTEGRADA ODONTO-PSICOLÓGICA LTDA";;"Odontologia de Grupo";"RUA JOÃO ALFREDO";"482";;"SÃO GERALDO";"Manaus";"AM";"69053270";"92";"2334892";;;"MARCO AURÉLIO PORTELLA DE MACÊDO";"SÓCIO-GERENTE";;"1999-07-03";"2001-06-20";"Pedido de cancelamento"
"409324";"03395778000135";"CLIOMED-PLANO DE ASSISTÊNCIA MÉDICA E ODONTOLÓGICA LTDA.";"CLIOMED";"Medicina de Grupo";"AV. BARAO DE MARUIM";"856";;"CENTRO";"Aracaju";"SE";"49010340";"079";"2137712";"2137712";"carloskleber@infonet.com.br";"CARLOS KLEBER COSTA";"SÓCIO-GERENTE";;"1999-10-27";"2002-03-22";"Pedido de cancelamento"
"409341";"02154194000105";"CLIPACIONAL CLÍNICA OCUPACIONAL LTDA";"CLIPACIONAL ASSISTÊNCIA À SAÚDE";"Medicina de Grupo";"RUA 2061";"176";;"CENTRO";"Balneário Camboriú";"SC";"88330000";"47";"3600162";"3600162";"clipmed@zaz.com.br";"JULIO CESAR SCHMITT";"SÓCIO";;"1999-10-29";"2002-07-19";"Pedido de cancelamento"
"409456";"00875315000182";"CLISIM SERVIÇOS MÉDICOS DE DIAGNÓSTICOS S/C LTDA.";"SAÚDE BETEL";"Medicina de Grupo";"RUA AGUIAR DE BARROS";"144";;"BELA VISTA";"São Paulo";"SP";"01316020";"11";"2392688 PABX";"2392688";;"JOSÉ CARLOS AMARAL";"SÓCIO";;"1999-10-29";"2002-10-22";"Ausência de operação"
"408905";"29482924000153";"CLISMED CLÍNICA DE SOCORRO MÉDICO DENTÁRIA LTDA";"CLISMED CLÍNICA DE SOCORRO MÉDICO DENTÁRIO LTDA";"Medicina de Grupo";"RUA DR. AUGUSTO FIGUEIREDO";"1797";;"SENADOR CAMARÁ";"Rio de Janeiro";"RJ";"21840600";"21";"24015139";"33360363";"clismed@bol.com.br";"ALOYSIO ALVES MACIEL NETO";"SOCIO GERENTE";4;"1999-10-13";"2010-08-25";"Pedido de cancelamento"
"413003";"33794132000191";"CLIVALE PROSAÚDE IGUATEMI LTDA.";"CLIVALE";"Medicina de Grupo";"AVENIDA TANCREDO NEVES";"148";"LOJA 03 - QUADRA Z-5 - 4º PISO SHOPPING ";"PITUBA";"Salvador";"BA";"41820020";"71";"3102006";"3123026";"clivale@clivale.com.br";"ALBERTO LUIZ SERRAVALLE FILHO";"DIRETOR";;"2001-01-16";"2002-07-19";"Pedido de cancelamento"
"402117";"03003022000101";"CLOC - CLÍNICA ODONTOLÓGICA CONCHAL LTDA";"INSTITUTO SÃO LUCAS DE ODONTOLOGIA";"Odontologia de Grupo";"RUA CONSELHEIRO RODRIGUES ALVES";"356";;"CENTRO";"Conchal";"SP";"13835000";"19";"38661460";"38661447";"saolucas.odontologia@ig.com.br";"JOSE MILTON GOMES JUNIOR";"SOCIO GERENTE";6;"1999-03-15";"2010-09-22";"Deliberação de Diretoria Colegiada"
"339920";"46856142000156";"CLOE DENTAL CLINICA ODONTOLOGICA S/C LTDA";"CLOE DENTAL";"Odontologia de Grupo";"RUA DO LIVRAMENTO";"210";;"VILA MARIANA";"São Paulo";"SP";"04008030";"11";"38840182";"38849693";"adm.cloedental@terra.com.br";"ROBERTO KOTAIT";"DIRETOR COMERCIAL";4;"1998-12-24";"2008-01-29";"Pedido de cancelamento"
"413801";"01578006000103";"CLOE DENTAL SERVIÇOS LTDA.";"CLOE DENTAL SERVIÇOS LTDA";"Odontologia de Grupo";"AVENIDA CECI";"1600";"LT2-1º A-SL 09";"TAMBORÉ";"Barueri";"SP";"06460905";"11";"21673477";"38849693";"gpimenta@crc.com.br";"OCTAVIO ANTONIO FILHO";"GERENTE DELEGADO";;"2001-06-06";"2006-05-19";"Por incorporação"
"415553";"33908500000185";"CLUBE BENEFICENTE DOS SARGENTOS DA MARINHA";;"Medicina de Grupo";"RUA PROFESSOR PAULA AQUILES";"55";;"VILA DA PENHA";"Rio de Janeiro";"RJ";"21221410";"21";"30137810";"33915925";"contabilidade@cbsmarinha.org.br";"GERALDO GOMES DA SILVA";"PRESIDENTE";4;"2006-04-24";"2008-04-08";"Descumprimento da RN n.º 100/2005"
"418480";"08902329000150";"CLUBE CARE ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de Benefícios";"AVENIDA RIO BRANCO";"123";"GRUPO 1202 E 1203";"CENTRO";"Rio de Janeiro";"RJ";"20040905";"21";"35539188";;"julianacjuridico@gmail.com";"AFRANIO FIGUEIREDO BENINATO";"REPRESENTANTE LEGAL";6;"2012-03-26";"2023-09-12";"Pedido de cancelamento"
"417467";"09665412000115";"CLUBE DE BENEFICIOS OFFICE ASSISTENCIA INTEGRAL";;"Administradora de Benefícios";"RUA SETE DE SETEMBRO";"92";"SALA 1005";"CENTRO";"Rio de Janeiro";"RJ";"20050002";"21";"38528356";;"mendoncade@hotmail.com";"PATRÍCIA OLIVEIRA DE CARVALHO";"REPRESENTANTE";3;"2010-08-03";"2018-05-08";"Pedido de cancelamento"
"31125";"02498998000121";"CLUBE DE SAUDE INTEGRAL S/C LTDA";"CLUBE DE SAUDE";"Medicina de Grupo";"RUA CEL.JUCA";"1789";"SALAS 201 A 209";"DIONISIO TORRES";"Fortaleza";"CE";"60170320";"85";"2644800";"2644800";"csi@baydenet.com.br";;;;"1999-01-08";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"416916";"09368007000135";"CLUBE DE SAÚDE ADMINISTRADORA DE PLANOS LTDA";;"Administradora";"ALAMEDA SANTOS";"415";"8º ANDAR";"CERQUEIRA CESAR";"São Paulo";"SP";"01419002";"11";"99681747";;;"BENEDITO TONOLLI JACOB";"DIRETOR PRESIDENTE";;"2009-03-17";"2010-08-20";"Descumprimento da RN n.º 100/2005"
"404110";"33593112000152";"CLUBE MILITAR";"MILITAR - SAÚDE (AUTOGESTÃO)";"Autogestão";"AV. RIO BRANCO";"251";;"CENTRO";"Rio de Janeiro";"RJ";"20040009";"21";"5249383";"2402379";;"HENRY SCHNOOR";"DIRETOR SECRETÁRIO";;"1999-05-10";"2001-04-25";"Pedido de cancelamento"
"418943";"14420490000190";"CLUBE VIDA ADMINISTRADORA DE BENEFÍCIOS E SAÚDE LTDA";"CLUBE VIDA";"Administradora de Benefícios";"RUA URUGUAIANA";"118";"SALA 504";"CENTRO";"Rio de Janeiro";"RJ";"20050092";"21";"31763650";;"CLUBEVIDAADM@HOTMAIL.COM";"ALESSANDRA CRISTINA VAZOLER";"DIIRETORA";;"2013-07-04";"2015-09-10";"Descumprimento de disposição legal"
"410209";"02909627000195";"CLÍNICA CEAPRO S/C LTDA";"CEAPRO";"Odontologia de Grupo";"Avenida tívoli";"85";;"VILA BETHÂNIA";"São José dos Campos";"SP";"12245230";"012";"39413281";"3413281";"clinica.ceapro@uol.com.br";"ANTULIO RIBEIRO NEGREIROS DE MORAIS";"ADMINISTRADOR/ DENTISTA";;"1999-12-09";"2002-05-21";"Pedido de cancelamento"
"411591";"03284804000158";"CLÍNICA DA QUINTA LTDA";;"Medicina de Grupo";"RUA SÃO LUIZ GONZAGA";"800";"2º ANDAR";"SÃO CRISTÓVÃO";"Rio de Janeiro";"RJ";"20910060";"21";"8605189";"8605190";"fpaes@uol.com.br";"FLÁVIO PAES DE SÁ";"DIRETOR TÉCNICO";;"2000-06-28";"2001-11-23";"Pedido de cancelamento"
"406881";"32534661000193";"CLÍNICA DE FISIOTERAPIA FISIOLAGOS LTDA";"COMPLEXO CLÍNICO DA REGIÃO DOS LAGOS";"Medicina de Grupo";"RUA DR. JOÃO VASCONCELLOS";"154";;"CENTRO";"Araruama";"RJ";"28970000";"22";"26653449";"26653449";"fisiolag@redelagos.com.br";"JUAREZ RODRIGUES DA SILVA";"SÓCIO DIRETOR";6;"1999-07-30";"2011-04-25";"Deliberação de Diretoria Colegiada"
"409821";"02528146000130";"CLÍNICA DE ODONTOLOGIA R.  A.  DIEHL & CIA LTDA";"RADIEHL";"Odontologia de Grupo";"AV. LIBERDADE";"1710 - sala 13";;"VILA SANTA ISABEL";"Viamão";"RS";"94480500";"51";"4931413";"4931413";"radiehl@conex.com.br";"ROBERTO ANTONIO DIEHL";"SÓCIO";;"1999-11-18";"2001-06-06";"Pedido de cancelamento"
"405205";"91227165000156";"CLÍNICA DENTÁRIA ATENDENTE LTDA.";"ATENDENTE";"Odontologia de Grupo";"AV OSVALDO ARANHA";"1394";;"BOM FIM";"Porto Alegre";"RS";"90035191";"51";"30616677";"30616677";"clident@terra.com.br";"JORGE GILBERTO CASTRO DO VALLE";"DIRETOR";;"1999-06-18";"2010-02-10";"Descumprimento da RN n.º 100/2005"
"411388";"03674778000174";"CLÍNICA DENTÁRIA DO POVO S/C LTDA";"AMERICANA SISTEMA ODONTOLÓGICO DE SAÚDE";"Odontologia de Grupo";"RUA 30 DE JULHO";"19";"1º ANDAR";"CENTRO";"Americana";"SP";"13465000";"19";"4607757";;;"JONAS ANTÔNIO LIMA";"SÓCIO GERENTE";;"2000-05-18";"2010-05-18";"Deliberação de Diretoria Colegiada"
"408352";"03383936000137";"CLÍNICA DENTÁRIA TRÊS PASSOS S/C LTDA.";"CLINIDENT";"Odontologia de Grupo";"RUA ROQUE GONZALES";"378";"SALA 404";"CENTRO";"Três Passos";"RS";"98600000";"55";"35221690";;;"MARLISE ELMIDA KETZER";"SOCIA GERENTE";;"1999-09-17";"2008-10-22";"Descumprimento da RN n.º 100/2005"
"407551";"30052377000155";"CLÍNICA DR. MIGUEL MORONE LTDA";"CLÍNICA DR. MORONE";"Medicina de Grupo";"RUA BOTUCATU";"247";;"GRAJAÚ";"Rio de Janeiro";"RJ";"20451340";"21";"33912518";"33915218";"cbnassessoria@hotmail.com";"MIGUEL MORONE";"DIRETOR GERAL";;"1999-08-20";"2012-09-05";"Deliberação de Diretoria Colegiada"
"306550";"01863891000172";"CLÍNICA IAÇÚ LTDA";;"Medicina de Grupo";"RUA IAÇÚ";"268";;"CAMPO GRANDE";"Rio de Janeiro";"RJ";"23052020";"21";"3941581";;;"JOSÉ CARLOS DE ARAUJO ROCHA";"DIRETOR ADMINISTRATIVO";;"1999-01-28";"2004-11-30";"Pedido de cancelamento"
"405825";"94707619000184";"CLÍNICA MEDISINOS ESTÂNCIA VELHA LTDA";"CLÍNICA MEDISINOS ESTÂNCIA VELHA";"Medicina de Grupo";"Hugo Metz";"37";"sala 2";"CENTRO";"Estância Velha";"RS";"93600000";"51";"561 1564";"561 1564";"administracao@medisinos.com.br";"FLÁVIO ROBERTO DIETRICH";"DIRETOR";;"1999-07-01";"2002-05-21";"Pedido de cancelamento"
"408115";"68777226000137";"CLÍNICA MÉDICA ANÁLIA FRANCO LTDA";"CLÍNICA MÉDICA ANÁLIA FRANCO";"Medicina de Grupo";"RUA ANÁLIA FRANCO";"340";;"VILA VALQUEIRE";"Rio de Janeiro";"RJ";"21330120";"21";"33501280";"33501280";"NÃO POSSUI";"CLAUDIO FERNANDO DE SOUZA BRAGA";"SÓCIO GERENTE / DIRETOR TÉCNIC";;"1999-09-10";"2007-08-20";"Descumprimento da RN n.º 100/2005"
"407615";"32010480000168";"CLÍNICA MÉDICA E FISIOTERAPICA SANTA BARBARA  LTDA.";;"Medicina de Grupo";"RUA PASSO DA PÁTRIA";"179";;"25 DE AGOSTO";"Duque de Caxias";"RJ";"25070000";"21";"6736185";;;"MARCIA PEREIRA MORGADO";"SÓCIA GERENTE";;"1999-08-20";"2002-07-19";"Pedido de cancelamento"
